panel_id,site_id,latitude,longitude,orientation,floor
27035,17056,-36.87099,174.77625,90,2
27036,17056,-36.87099,174.77625,270,2
27037,17056,-36.87098,174.77705,105,2
27038,17056,-36.87111111,174.7766667,73,1
27039,17056,-36.87083333,174.7769444,257,1
27040,17056,-36.87083333,174.7755556,66,1
27041,17056,-36.87083333,174.7755556,201,1
27042,17056,-36.87083333,174.7755556,70,1
27043,17056,-36.87083333,174.7755556,248,1
27044,17056,-36.87138889,174.7766667,337,1
27045,17056,-36.87111111,174.7763889,143,1
27046,17056,-36.87138889,174.7766667,110,1
27047,17056,-36.87138889,174.7766667,147,1
27048,17056,-36.87194444,174.7769444,27,1
27049,17056,-36.87194444,174.7769444,206,1
27050,17056,-36.87222222,174.7769444,331,1
27051,17056,-36.87222222,174.7769444,149,1
27052,17056,-36.87083333,174.7769444,35,2
27053,17056,-36.87083333,174.7769444,184,2
27054,17056,-36.87083333,174.7769444,5,2
27055,17056,-36.87166667,174.7766667,26,2
27056,17056,-36.87166667,174.7766667,207,2
27057,17056,-36.87083333,174.7755556,91,2
27058,17056,-36.87083333,174.7755556,269,2
27059,17056,-36.87083333,174.7755556,264,2
27060,17056,-36.87083333,174.7755556,89,2
27061,17056,-36.87111111,174.7761111,105,2
27062,17056,-36.87111111,174.7761111,104,2
27063,17056,-36.87111111,174.7763889,284,2
27064,17056,-36.87111111,174.7763889,294,2
27065,17056,-36.87111111,174.7766667,297,2
27066,17056,-36.87138889,174.7766667,209,2
27067,17056,-36.87083333,174.7769444,31,2
27068,17056,-36.87222222,174.7766667,313,2
27069,17056,-36.87194444,174.7766667,354,2
27070,17056,-36.87222222,174.7766667,145,2
27071,17056,-36.87222222,174.7766667,138,2
27072,17056,-36.87138889,174.7763889,160,3
27073,17056,-36.87111111,174.7766667,130,3
27074,17056,-36.87083333,174.7758333,315,3
27075,17056,-36.87083333,174.7755556,76,3
27076,17056,-36.87083333,174.7755556,255,3
27077,17056,-36.87083333,174.7755556,221,3
27078,17056,-36.87083333,174.7755556,43,3
27079,17056,-36.87111111,174.7761111,3,3
27080,17056,-36.87111111,174.7761111,183,3
27081,17056,-36.87111111,174.7763889,37,3
27082,17056,-36.87138889,174.7766667,209,3
27083,17056,-36.87194444,174.7766667,67,3
27084,17056,-36.87166667,174.7766667,247,3
27085,17056,-36.87194444,174.7766667,35,3
27086,17056,-36.87222222,174.7763889,37,3
27087,17056,-36.8725,174.7766667,121,3
27088,17056,-36.8725,174.7766667,102,3
